sch_id,sch_link,reltype,useAtSch,wd_id,wd_link,wd_label,wd_stability,Endorse,Disagree,Doubt,comments,EndorsedAction,
CollegeOrUniversity,LINK,equivClass,,Q189004,LINK,college,,diegomoussallem,,,,,
CollegeOrUniversity,LINK,equivClass,,Q3918,LINK,university,,diegomoussallem,,,,,
colorist,LINK,exactMatch,,Q1111648,LINK,comic book colorist,,diegomoussallem,,,,,
ComedyClub,LINK,equivClass,,Q2814066,LINK,comedy club,,diegomoussallem,,,,,
ComicSeries,LINK,equivClass,,Q14406742,LINK,comic book series,,diegomoussallem,,,,,
ComicStory,LINK,equivClass,,Q1004,LINK,comic,,diegomoussallem,,,,,
ComicStory,LINK,exactMatch,,Q1004,LINK,comic,,,diegomoussallem,,not an exact match,,
Comment,LINK,equivClass,,Q1141067,LINK,comment,,,ppkrauss,diegomoussallem,too restrictive in terms of computer program in WD ,DELETE and try Q857525,
CommunityHealth,LINK,equivClass,,Q3473024,LINK,Community health,,diegomoussallem,,,,,
competitor,LINK,exactMatch,,Q27019785,LINK,competitor,,diegomoussallem,,,,,
composer,LINK,equivProp,yes,P86,LINK,composer,,ppkrauss,,diegomoussallem,,,
composer,LINK,exactMatch,no,Q36834,LINK,composer,,,valexiev; ppkrauss,diegomoussallem,"no need, given equivProp. NOTE: WD restrictive to persons and not organisations",DELETE,
ComputerLanguage,LINK,equivClass,,Q629206,LINK,computer language,,diegomoussallem,,,,,
ContactPoint,LINK,equivClass,,Q30322502,LINK,contact point,,diegomoussallem,,,,,
contentLocation,LINK,equivProp,,P840,LINK,narrative location,,ppkrauss,diegomoussallem,,"endorse by supposing ""narrative"" is generic",,
contentRating,LINK,equivProp,,P1657,LINK,MPAA film rating,,,,diegomoussallem; ppkrauss,WD too restrictive... How to edit or create generic rating?,DELETE AND CHANGE WD to Q5165090 exactMatch,
Continent,LINK,equivClass,,Q5107,LINK,continent,,diegomoussallem,,,,,
contributor,LINK,equivProp,,P767,LINK,contributor(s) to the subject,,diegomoussallem,,,,,
contributor,LINK,exactMatch,,Q20204892,LINK,contributor,,diegomoussallem,,,,,
Conversation,LINK,equivClass,,Q52943,LINK,conversation,,diegomoussallem,,,,,
copyrightHolder,LINK,equivProp,,P3931,LINK,copyright owner,,diegomoussallem,,,,,
Corporation,LINK,equivClass,,Q4830453,LINK,business enterprise,,diegomoussallem,,,,,
Country,LINK,equivClass,,Q6256,LINK,country of origin,,diegomoussallem,,,,,
countryOfOrigin,LINK,equivProp,,P495,LINK,,,diegomoussallem,,,,,
Course,LINK,equivClass,,Q600134,LINK,course,,diegomoussallem,,,,,
Courthouse,LINK,equivClass,,Q1137809,LINK,courthouse,,diegomoussallem,,,,,
CreativeWork,LINK,equivClass,,Q17537576,LINK,creative work,,diegomoussallem,,,,,
CreativeWorkSeries,LINK,equivClass,,Q7725310,LINK,series of creative works,,,,diegomoussallem,schema provides a deep explanation and also says that the creativeWorks may differ their kinds while WD says similar objects,,
creator,LINK,equivProp,,P170,LINK,creator,,diegomoussallem,,,,,
CreditCard,LINK,equivClass,,Q161380,LINK,credit card,,diegomoussallem,,,,,
Crematorium,LINK,equivClass,,Q157570,LINK,crematory,,diegomoussallem,,,,,
DanceGroup,LINK,equivClass,,Q2393314,LINK,dance troupe,,diegomoussallem,,,,,
DataFeed,LINK,equivClass,,Q5227292,LINK,Data feed,,,,diegomoussallem,"WD does not contain reasonable information, but maybe it suits because of its Wikipedia page.",,
Dataset,LINK,equivClass,,Q1172284,LINK,data set,,diegomoussallem,,,,,
Date,LINK,equivClass,,Q3016931,LINK,date,,diegomoussallem,,,,,
dateCreated,LINK,equivProp,,P580,LINK,start time,,diegomoussallem,,,,,
datePublished,LINK,equivProp,,P577,LINK,publication date,,diegomoussallem,,,,,
DayOfWeek,LINK,equivClass,,Q41825,LINK,day of the week,,diegomoussallem,,,,,
dayOfWeek,LINK,equivProp,,P2894,LINK,day of week,,,,diegomoussallem,I got in doubt because of the opening hours.,,
DaySpa,LINK,equivClass,,Q11290050,LINK,day spa,,diegomoussallem,,,,,
deathDate,LINK,equivProp,,P570,LINK,date of death,,diegomoussallem,,,,,
deathPlace,LINK,equivProp,,P20,LINK,place of death,,diegomoussallem,,,,,
DefenceEstablishment,LINK,equivClass,,Q18691599,LINK,military facility,,diegomoussallem,,,,,
Demand,LINK,equivClass,,Q4402708,LINK,demand,,,diegomoussallem,,different descriptions,,
Dentist,LINK,exactMatch,,Q27349,LINK,dentist,,,diegomoussallem,ppkrauss,"WD refers to an occupation of a person and Schema to a place. See same as physician discussion, starting at https://github.com/schemaorg/schemaorg/issues/280#issuecomment-252522816",,
Dermatology,LINK,equivClass,,Q171171,LINK,dermatology,,diegomoussallem,,,,,
DiagnosticProcedure,LINK,equivClass,,Q177719,LINK,diagnostic procedure,,diegomoussallem,,,,,
Diet,LINK,equivClass,,Q26869695,LINK,Diet,,diegomoussallem,,,,,
DietarySupplement,LINK,equivClass,,Q645858,LINK,dietary supplement,,diegomoussallem,,,,,
director,LINK,equivProp,,P57,LINK,director,,diegomoussallem,,,,,
director,LINK,exactMatch,,Q3455803,LINK,director,,diegomoussallem,,,,,
Distance,LINK,equivClass,,Q126017,LINK,distance,,diegomoussallem,,,,,
distance,LINK,equivProp,,P2043,LINK,length,,,diegomoussallem; ppkrauss,,WD refers to an object; SH between 2 (punctual) objects.,,
Distillery,LINK,equivClass,,Q1251750,LINK,distillery,,diegomoussallem,,,,,
Drug,LINK,equivClass,,Q8386,LINK,drug,,diegomoussallem,,,,,
Duration,LINK,equivClass,,Q21886162,LINK,duration,,diegomoussallem,,,,,
duration,LINK,equivProp,,P2047,LINK,duration,,diegomoussallem,,,,,
duration,LINK,exactMatch,,Q21886162,LINK,duration,,diegomoussallem,,,,,
editor,LINK,equivProp,,P98,LINK,editor,,diegomoussallem,,,,,
editor,LINK,exactMatch,,Q1607826,LINK,editor,,diegomoussallem,,,,,
EducationalOrganization,LINK,equivClass,,Q5341295,LINK,educational organization,,diegomoussallem,,,,,
Electrician,LINK,equivClass,,Q165029,LINK,electrician,,,diegomoussallem,ppkrauss,schema considers it as an organisation.. But check similar Physician discussions at https://github.com/schemaorg/schemaorg/issues/280#issuecomment-252522816,discuss,
ElementarySchool,LINK,equivClass,,Q20950067,LINK,elementary school,,diegomoussallem,,,,,
Embassy,LINK,equivClass,,Q3917681,LINK,embassy,,diegomoussallem,,,,,
Emergency,LINK,equivClass,,Q5070802,LINK,emergency,,,diegomoussallem; ppkrauss,,different things. And not is a schema-core item.,,
EmergencyService,LINK,equivClass,yes,Q814610,LINK,emergency service,,diegomoussallem; ppkrauss,,,,,
EmergencyService,LINK,exactMatch,,Q814610,LINK,emergency service,,diegomoussallem,,,"Duplicate, rule.",DELETE,
EmploymentAgency,LINK,equivClass,,Q261362,LINK,employment agency,,diegomoussallem,,,,,
endDate,LINK,equivProp,,P582,LINK,end time,,diegomoussallem,,,,,
Energy,LINK,equivClass,,Q11379,LINK,energy,,diegomoussallem,,,,,
Episode,LINK,equivClass,,Q1983062,LINK,episode,,diegomoussallem,,,,,
EPRelease,LINK,equivClass,,Q169930,LINK,extended play,,,,diegomoussallem,No clue of Schema property,,
error,LINK,exactMatch,,Q29485,LINK,error,,diegomoussallem,,,,,
Event,LINK,equivClass,,Q1656682,LINK,event,,diegomoussallem,,,,,
event,LINK,exactMatch,,Q1656682,LINK,event,,diegomoussallem,,,,,
EventVenue,LINK,equivClass,,Q18674739,LINK,event venue,,diegomoussallem,,,,,
exifData,LINK,superProp,,P2009,LINK,Exif model,,diegomoussallem,,,,,
exifData,LINK,superProp,,P2010,LINK,Exif make,,diegomoussallem,,,,,
familyName,LINK,equivProp,,P734,LINK,family name,,diegomoussallem,,,,,
Festival,LINK,equivClass,,Q132241,LINK,festival,,diegomoussallem,,,,,
fileFormat,LINK,exactMatch,,Q235557,LINK,file format,,diegomoussallem,,,,,
fileSize,LINK,exactMatch,,Q1146367,LINK,file size,,diegomoussallem,,,,,
FinancialProduct,LINK,equivClass,,Q15809678,LINK,financial product,,diegomoussallem,,,,,
FinancialService,LINK,equivClass,,Q837171,LINK,Financial services,,diegomoussallem,,,,,
FireStation,LINK,equivClass,,Q1195942,LINK,fire station,,diegomoussallem,,,,,
flightNumber,LINK,equivProp,,P3090,LINK,flight number,,diegomoussallem,,,,,
Float,LINK,equivClass,,Q27150272,LINK,floating point number,,diegomoussallem,,,,,
Florist,LINK,equivClass,,Q16735601,LINK,florist,,,diegomoussallem,,WD is a person and Schema is an organisation,,
founder,LINK,equivProp,,P112,LINK,founded by,,diegomoussallem,,,,,
founder,LINK,exactMatch,,Q26950764,LINK,founder,,diegomoussallem,,,,,
foundingDate,LINK,equivProp,,P571,LINK,inception,,diegomoussallem,,,,,
foundingLocation,LINK,equivProp,,P740,LINK,location of formation,,diegomoussallem,,,,,
fromLocation,LINK,exactMatch,,P1427,LINK,start point,,diegomoussallem,,,,,
Game,LINK,equivClass,,Q11410,LINK,game,,diegomoussallem,,,,,
gamePlatform,LINK,exactMatch,,Q241317,LINK,computing platform,,,diegomoussallem,,different things,,
GameServer,LINK,equivClass,,Q1315933,LINK,game server,,diegomoussallem,,,,,
GasStation,LINK,equivClass,,Q205495,LINK,gas station,,diegomoussallem,,,,,
GatedResidenceCommunity,LINK,equivClass,,Q75848,LINK,gated community,,diegomoussallem,,,,,
gender,LINK,equivProp,,P21,LINK,sex or gender,,,diegomoussallem,,Schema just used for Person while WD uses for animals,,
GeneralContractor,LINK,equivClass,,Q289612,LINK,general contractor,,diegomoussallem,,,,,
genre,LINK,equivProp,,P136,LINK,genre,,diegomoussallem,,,,,
genre,LINK,exactMatch,,Q483394,LINK,genre,,diegomoussallem,,,,,
geo,LINK,equivProp,,P625,LINK,coordinate location,,diegomoussallem,,,,,
Geriatric,LINK,equivClass,,Q10384,LINK,geriatrics,,,diegomoussallem,,WD refers to a person,,
givenName,LINK,equivProp,,P735,LINK,given name,,diegomoussallem,,,,,
GolfCourse,LINK,equivClass,,Q1048525,LINK,golf course,,diegomoussallem,,,,,
GovernmentBuilding,LINK,equivClass,,Q16831714,LINK,government building,,diegomoussallem,,,,,
GovernmentOrganization,LINK,equivClass,,Q2659904,LINK,government organization,,diegomoussallem,,,,,
Gynecologic,LINK,equivClass,,Q1221899,LINK,gynaecology,,diegomoussallem,,,,,
HairSalon,LINK,equivClass,,Q27038995,LINK,haircutting establishment,,diegomoussallem,,,,,
hasPart,LINK,equivProp,,P527,LINK,has part,,,diegomoussallem,,Schema is restrictive to creativeWork and WD accepts ingredients of a food for instance,,
hasPart,LINK,exactMatch,,Q24575087,LINK,has part,,,diegomoussallem,,,,
HealthClub,LINK,equivClass,,Q1065656,LINK,health club,,diegomoussallem,,,,,
height,LINK,equivProp,,P2048,LINK,height,,diegomoussallem,,,,,
HighSchool,LINK,equivClass,,Q9826,LINK,high school,,diegomoussallem,,,,,
HinduTemple,LINK,equivClass,,Q842402,LINK,Hindu temple,,diegomoussallem,,,,,
homeLocation,LINK,equivProp,,P551,LINK,residence,,diegomoussallem,,,,,
homeTeam,LINK,exactMatch,,Q24633211,LINK,home team,,diegomoussallem,,,,,
Hospital,LINK,equivClass,,Q16917,LINK,hospital,,diegomoussallem,,,,,
Hostel,LINK,equivClass,,Q654772,LINK,hostel,,diegomoussallem,,,,,
Hotel,LINK,equivClass,,Q27686,LINK,hotel,,diegomoussallem,,,,,
HotelRoom,LINK,equivClass,,Q23541360,LINK,hotel room,,diegomoussallem,,,,,
House,LINK,equivClass,,Q3947,LINK,house,,diegomoussallem,,,,,
House,LINK,exactMatch,,Q3947,LINK,house,,diegomoussallem,,,,,
HousePainter,LINK,equivClass,,Q288728,LINK,house painter,,,diegomoussallem,,WD refers to persons,,
iataCode,LINK,equivProp,,P238,LINK,IATA airport code,,diegomoussallem,,,,,
icaoCode,LINK,equivProp,,P239,LINK,ICAO airport code,,diegomoussallem,,,,,
IceCreamShop,LINK,equivClass,,Q1311064,LINK,ice cream parlor,,diegomoussallem,,,,,
illustrator,LINK,equivProp,,P110,LINK,illustrator,,diegomoussallem,,,,,
image,LINK,equivProp,,P18,LINK,image,,diegomoussallem,,,,,
ImageObject,LINK,equivClass,,Q24063789,LINK,image file,,diegomoussallem,,,,,
ImageObject,LINK,equivClass,,Q478798,LINK,image,,,diegomoussallem,,Schema considers only media files,,
InfectiousDisease,LINK,equivClass,,Q18123741,LINK,infectious disease,,diegomoussallem,,,,,
inLanguage,LINK,equivProp,,P364,LINK,original language of work,,diegomoussallem,,,,,
inLanguage,LINK,equivProp,,P407,LINK,language of work or name,,,,diegomoussallem,"different descriptions, maybe sub properties or classes.",,
instrument,LINK,exactMatch,,Q26921680,LINK,interagent,,diegomoussallem,,,,,
InsuranceAgency,LINK,equivClass,,Q27038992,LINK,insurance agency,,diegomoussallem,,,,,
Integer,LINK,equivClass,,Q12503,LINK,integer,,diegomoussallem,,,,,
Integer,LINK,equivClass,,Q729138,LINK,Integer,,diegomoussallem,,,,,
Invoice,LINK,equivClass,,Q190581,LINK,invoice,,diegomoussallem,,,,,
isBasedOn,LINK,exactMatch,,P144,LINK,based on,,diegomoussallem,,,,,
isbn,LINK,superProp,,P212,LINK,ISBN-13,,diegomoussallem,,,,,
isbn,LINK,superProp,,P957,LINK,ISBN-10,,diegomoussallem,,,,,
isPartOf,LINK,equivProp,,P361,LINK,part of,,,,diegomoussallem,maybe the WD inverse property would fit better,,
isPartOf,LINK,superProp,,P195,LINK,collection,,,,diegomoussallem,just in doubt if it suits well as a super property,,
isrcCode,LINK,equivProp,,P1243,LINK,International Standard Recording Code,,diegomoussallem,,,,,
issueNumber,LINK,equivProp,,P433,LINK,issue,,diegomoussallem,,,,,
