pLabel,p,equivclass,equivprop,sub,super
animal shelter,http://www.wikidata.org/entity/Q1411287,http://schema.org/AnimalShelter,,,
auto body shop,http://www.wikidata.org/entity/Q27003353,http://schema.org/AutoBodyShop,,,
car rental,http://www.wikidata.org/entity/Q291240,http://schema.org/AutoRental,,,
Childcare center,http://www.wikidata.org/entity/Q27008444,http://schema.org/ChildCare,,,
emergency service,http://www.wikidata.org/entity/Q814610,http://schema.org/EmergencyService,,,
fire station,http://www.wikidata.org/entity/Q1195942,http://schema.org/FireStation,,,
hospital,http://www.wikidata.org/entity/Q16917,http://schema.org/Hospital,,,
police station,http://www.wikidata.org/entity/Q861951,http://schema.org/PoliceStation,,,
employment agency,http://www.wikidata.org/entity/Q261362,http://schema.org/EmploymentAgency,,,
extended play,http://www.wikidata.org/entity/Q169930,http://schema.org/EPRelease,,,
single,http://www.wikidata.org/entity/Q134556,http://schema.org/SingleRelease,,,
medical specialty,http://www.wikidata.org/entity/Q930752,http://schema.org/MedicalSpecialty,,,
corporation,http://www.wikidata.org/entity/Q167037,http://schema.org/Corporation,,,
amusement park,http://www.wikidata.org/entity/Q194195,http://schema.org/AmusementPark,,,
art gallery,http://www.wikidata.org/entity/Q1007870,http://schema.org/ArtGallery,,,
casino,http://www.wikidata.org/entity/Q133215,http://schema.org/Casino,,,
comedy club,http://www.wikidata.org/entity/Q2814066,http://schema.org/ComedyClub,,,
nightclub,http://www.wikidata.org/entity/Q622425,http://schema.org/NightClub,,,
financial services,http://www.wikidata.org/entity/Q837171,http://schema.org/FinancialService,,,
accounting services,http://www.wikidata.org/entity/Q23671509,http://schema.org/AccountingService,,,
automated teller machine,http://www.wikidata.org/entity/Q81235,http://schema.org/AutomatedTeller,,,
bank,http://www.wikidata.org/entity/Q22687,http://schema.org/BankOrCreditUnion,,,
credit union,http://www.wikidata.org/entity/Q745877,http://schema.org/BankOrCreditUnion,,,
insurance agency,http://www.wikidata.org/entity/Q27038992,http://schema.org/InsuranceAgency,,,
bakery,http://www.wikidata.org/entity/Q274393,http://schema.org/Bakery,,,
bar,http://www.wikidata.org/entity/Q187456,http://schema.org/BarOrPub,,,
pub,http://www.wikidata.org/entity/Q212198,http://schema.org/BarOrPub,,,
brewery,http://www.wikidata.org/entity/Q131734,http://schema.org/Brewery,,,
ice cream parlor,http://www.wikidata.org/entity/Q1311064,http://schema.org/IceCreamShop,,,
winery,http://www.wikidata.org/entity/Q156362,http://schema.org/Winery,,,
post office,http://www.wikidata.org/entity/Q35054,http://schema.org/PostOffice,,,
beauty salon,http://www.wikidata.org/entity/Q1195245,http://schema.org/BeautySalon,,,
day spa,http://www.wikidata.org/entity/Q11290050,http://schema.org/DaySpa,,,
